Queue Delay,Priority
17.50785517692566,silv
17.577782154083252,silv
16.6700158119201,bron
16.710190534591675,gold
16.773223161697388,gold
16.83871626853943,gold
17.9047429561615,silv
17.988445281982422,silv
17.0924918651580,bron
17.136441946029663,gold
17.176491260528564,gold
17.248714447021484,gold
18.349677085876465,silv
18.419133186340332,silv
17.5267663002014,bron
17.545387029647827,gold
17.61619210243225,gold
17.674250602722168,gold
18.793400287628174,silv
18.86720037460327,silv
17.9763917922973,bron
17.969793558120728,gold
18.092313289642334,gold
18.2670769691467,gold
19.307130098342896,silv
19.378409385681152,silv
18.4260833263397,bron
18.518505573272705,gold
18.58955669403076,gold
18.64619302749633,gold
19.735404014587402,silv
19.806039094924927,silv
19.0096099376678,bron
20.100228786468506,gold
20.171433925628662,gold
19.2368929386138,bron
20.316798210144043,gold
20.3878972530365,gold
19.4513320922851,bron
20.534826278686523,gold
20.607824325561523,gold
19.67912268638611,bron
20.748811721801758,gold
20.814512491226196,gold
19.8829314708709,bron
20.95032525062561,gold
21.021034002304077,gold
20.09252977371215,bron
21.161988019943237,gold
21.23137593269348,gold
20.30749917030334,bron
21.367374181747437,gold
21.429779767990112,gold
20.5152966976165,bron
21.56364870071411,gold
21.631669759750366,gold
20.7294893264770,bron
21.766068935394287,gold
21.831717491149902,gold
20.9361870288848,bron
21.934210300445557,gold
22.006871223449707,gold
21.1529374122619,bron
22.143226385116577,gold
22.205537796020508,gold
21.3647305965423,bron
22.29378390312195,gold
21.67154550552368,gold
21.5680859088897,bron
21.6368064880371,gold
21.7034661769866,gold
21.7691962718963,bron
21.8383748531341,gold
21.9119913578033,gold
21.9852981567382,bron
22.0606749057769,gold
22.1332399845123,gold
22.2045805454254,gold
22.2690474987030,gold
22.3392639160156,bron
22.41510033607483,gold
22.4847743511199,gold
22.55632877349853,bron
22.6265056133270,gold
22.6999769210815,gold
22.7696876525878,gold
22.8421435356140,gold
22.9081735610961,bron
22.9732704162597,gold
23.0442073345184,gold
23.1209354400634,bron
23.1933281421661,gold
23.2665162086486,gold
23.3423609733581,gold
23.4191749095916,bron
23.4882917404174,gold
23.5563225746154,gold
23.6246397495269,gold
23.6950428485870,bron
23.7692611217498,gold
23.8422522544860,gold
23.9113554954528,bron
23.98484063148498,gold
24.0554146766662,gold
24.12227392196655,bron
24.19259858131408,gold
24.2635703086853,gold
24.3312964439392,bron
24.4034538269042,gold
24.4691779613494,gold
24.5434134006500,bron
24.6200542449951,gold
24.6845340728759,gold
24.7490088939666,bron
24.8164806365966,gold
24.8890149593353,gold
24.9571080207824,bron
25.0307211875915,gold
25.09947490692138,gold
25.16967487335205,bron
